episode,runtime_sec,steps,reward,task1_success,task2_success,task3_success,task4_success,task5_success,task6_success,task1_steps,task2_steps,task3_steps,task4_steps,task5_steps,task6_steps,llm_time_task1,llm_time_task2,llm_time_task3,llm_time_task4,llm_time_task5,llm_time_task6,cur_skill_calls
132,49.494963,460,87.925,1,1,1,1,1,1,96,72,140,28,84,40,0.921171,0.923507,0.936156,0.923761,0.92552,0.920127,"0,1,2,3,4,5"
134,60.837204,476,107.983,1,1,1,1,1,1,92,92,132,24,100,36,10.490435,0.917687,0.928668,0.929777,0.91799,0.924989,"0,1,2,3,4,5"
135,50.097231,464,107.943,1,1,1,1,1,1,96,92,128,28,84,36,0.925261,0.928139,0.919515,0.924317,0.922646,0.920446,"0,1,2,3,4,5"
136,46.129068,424,107.993,1,1,1,1,1,1,84,72,120,28,84,36,0.931596,0.929527,0.92629,0.933398,0.923781,0.931686,"0,1,2,3,4,5"
137,46.816447,432,107.935,1,1,1,1,1,1,96,80,116,32,72,36,0.91856,0.919245,0.920144,0.93145,0.926379,0.925749,"0,1,2,3,4,5"
138,47.67499,440,108.0,1,1,1,1,1,1,92,84,112,32,84,36,0.921899,0.918699,0.929908,0.921683,0.918633,0.927236,"0,1,2,3,4,5"
139,46.277855,428,97.951,1,1,1,1,1,1,92,68,116,28,80,44,0.92744,0.928798,0.917031,0.924225,0.917365,0.9184,"0,1,2,3,4,5"
140,47.278703,436,107.859,1,1,1,1,1,1,112,72,116,24,76,36,0.921532,0.925921,0.920082,0.924201,0.929199,0.924598,"0,1,2,3,4,5"
141,49.400491,460,97.907,1,1,1,1,1,1,100,92,116,28,84,40,0.923356,0.924793,0.913818,0.921528,0.920645,0.924973,"0,1,2,3,4,5"
142,46.355882,428,97.99,1,1,1,1,1,1,80,72,120,32,84,40,0.929188,0.917182,0.92706,0.916692,0.922814,0.916412,"0,1,2,3,4,5"
143,46.425335,428,107.958,1,1,1,1,1,1,88,68,112,28,96,36,0.936677,0.925674,0.926478,0.920983,0.928953,0.925939,"0,1,2,3,4,5"
144,50.488962,468,108.0,1,1,1,1,1,1,92,100,124,28,88,36,0.924401,0.91594,0.93631,0.929268,0.924234,0.917385,"0,1,2,3,4,5"
145,50.820243,472,97.935,1,1,1,1,1,1,92,108,124,28,80,40,0.928258,0.920111,0.926568,0.929072,0.922552,0.926032,"0,1,2,3,4,5"
146,45.354898,416,107.955,1,1,1,1,1,1,96,72,116,24,76,32,0.920848,0.923306,0.924879,0.924941,0.917775,0.915828,"0,1,2,3,4,5"
147,44.420795,408,108.0,1,1,1,1,1,1,92,68,116,28,68,36,0.937182,0.923898,0.934596,0.917759,0.931649,0.914313,"0,1,2,3,4,5"
148,46.095662,424,107.994,1,1,1,1,1,1,88,68,116,28,88,36,0.92669,0.919741,0.927219,0.92224,0.92103,0.927406,"0,1,2,3,4,5"
149,47.114148,436,107.97,1,1,1,1,1,1,84,68,128,28,84,44,0.935552,0.926065,0.920131,0.927629,0.916621,0.920386,"0,1,2,3,4,5"
150,46.095203,424,97.949,1,1,1,1,1,1,88,68,120,32,80,36,0.926273,0.925965,0.91814,0.920566,0.922591,0.931662,"0,1,2,3,4,5"
151,47.696633,440,87.925,1,1,1,1,1,1,96,72,112,32,84,44,0.92275,0.923638,0.929534,0.920986,0.925956,0.926221,"0,1,2,3,4,5"
152,50.840139,472,98.0,1,1,1,1,1,1,88,92,132,28,84,48,0.939133,0.933676,0.934063,0.923077,0.918116,0.926079,"0,1,2,3,4,5"
153,50.884749,472,108.0,1,1,1,1,1,1,88,108,132,28,80,36,0.923114,0.916625,0.92787,0.925731,0.924153,0.917057,"0,1,2,3,4,5"
