episode,runtime_sec,steps,reward,task1_success,task2_success,task3_success,task4_success,task5_success,task6_success,task1_steps,task2_steps,task3_steps,task4_steps,task5_steps,task6_steps
328,44.812377,448,107.962,1,1,1,1,1,1,92,72,132,28,88,36
329,48.620879,488,108.962,1,1,1,1,1,1,88,92,168,28,72,40
330,44.021498,440,97.997,1,1,1,1,1,1,84,92,116,28,84,36
331,43.024114,432,107.959,1,1,1,1,1,1,92,72,116,28,84,40
332,47.015158,472,107.986,1,1,1,1,1,1,84,112,120,32,84,40
333,45.919502,460,98.000,1,1,1,1,1,1,88,100,124,28,84,36
334,44.819155,448,98.000,1,1,1,1,1,1,104,84,112,28,84,36
335,42.937019,432,107.974,1,1,1,1,1,1,96,68,116,24,88,40
336,44.014007,440,108.000,1,1,1,1,1,1,88,68,136,28,84,36
337,42.313141,424,107.967,1,1,1,1,1,1,92,68,116,28,84,36
338,42.622049,428,107.999,1,1,1,1,1,1,84,68,124,28,88,36
339,43.515204,436,107.999,1,1,1,1,1,1,92,72,116,32,84,40
340,43.920142,440,107.977,1,1,1,1,1,1,84,88,120,28,84,36
341,42.583145,428,97.958,1,1,1,1,1,1,92,84,112,28,80,32
342,45.010695,452,107.970,1,1,1,1,1,1,96,88,116,28,84,40
343,42.632445,428,107.959,1,1,1,1,1,1,88,72,116,24,88,40
344,43.815986,440,108.000,1,1,1,1,1,1,88,68,124,28,92,40
345,44.422325,444,108.000,1,1,1,1,1,1,92,68,132,28,88,36
346,41.019137,412,108.000,1,1,1,1,1,1,88,68,116,32,72,36
347,44.616579,448,107.928,1,1,1,1,1,1,96,72,128,32,80,40
348,41.511900,416,108.000,1,1,1,1,1,1,84,68,116,28,84,36
349,44.228315,444,108.000,1,1,1,1,1,1,84,72,136,28,84,40
350,0.120383,4,-5.000,0,0,0,0,0,0,4,0,0,0,0,0
351,0.522950,8,-5.020,0,0,0,0,0,0,8,0,0,0,0,0
352,43.515567,436,108.000,1,1,1,1,1,1,84,72,124,24,92,40
353,41.614910,416,98.000,1,1,1,1,1,1,92,72,108,28,84,32
354,42.322196,424,108.000,1,1,1,1,1,1,92,80,116,28,72,36
355,44.736483,448,107.911,1,1,1,1,1,1,100,84,112,28,84,40
356,47.702790,480,108.000,1,1,1,1,1,1,108,92,120,32,88,40
357,44.021208,440,97.992,1,1,1,1,1,1,92,72,112,32,88,44
358,44.819355,448,107.959,1,1,1,1,1,1,92,88,120,28,84,36
359,44.720461,448,97.999,1,1,1,1,1,1,84,72,140,28,84,40
360,41.925488,420,108.000,1,1,1,1,1,1,88,72,120,24,80,36
361,40.659438,412,107.979,1,1,1,1,1,1,96,68,112,28,72,36
362,0.804376,8,-5.035,0,0,0,0,0,0,8,0,0,0,0,0
363,45.212301,452,107.879,1,1,1,1,1,1,104,68,112,32,12,32
364,45.926279,460,107.994,1,1,1,1,1,1,92,96,120,24,92,36
365,48.818308,488,107.831,1,1,1,1,1,1,116,100,116,32,88,36
